TRAIN,out/80_original.jpg,kurum_ogrenci_no,1486,1047,1908,1047,1908,1432,1486,1432
TRAIN,out/80_original.jpg,sayisal,2260,102,2608,102,2608,925,2260,925
TRAIN,out/80_original.jpg,bilgiler_elle,1347,1596,1920,1596,1920,2041,1347,2041
TRAIN,out/80_original.jpg,kenarcizgi,3703,80,3835,80,3835,2029,3703,2029
TRAIN,out/80_original.jpg,sayisal,372,134,778,134,778,962,372,962
TRAIN,out/80_original.jpg,sozel,2606,93,3292,93,3292,927,2606,927
TRAIN,out/80_original.jpg,kenarcizgi,1910,117,1991,117,1991,2054,1910,2054
TRAIN,out/80_original.jpg,kitapcik_cinsiyet,1503,1446,1915,1446,1915,1574,1503,1574
TRAIN,out/80_original.jpg,soyadi_adi,458,1055,1219,1055,1219,2061,458,2061
TRAIN,out/80_original.jpg,tc,1535,629,1900,629,1900,1028,1535,1028
TRAIN,out/80_original.jpg,bilgiler_elle,3103,1542,3691,1542,3691,2012,3103,2012
TRAIN,out/80_original.jpg,soyadi_adi,2253,1011,2985,1011,2985,2017,2253,2017
TRAIN,out/80_original.jpg,kitapcik_cinsiyet,3279,1410,3701,1410,3701,1530,3279,1530
TRAIN,out/80_original.jpg,cevaplar,2268,90,3301,90,3301,1003,2268,1003
TRAIN,out/80_original.jpg,sinif_sube,1197,1138,1347,1138,1347,2046,1197,2046
TRAIN,out/80_original.jpg,tc,3338,575,3730,575,3730,989,3338,989
TRAIN,out/80_original.jpg,cevaplar,377,127,1462,127,1462,1035,377,1035
TRAIN,out/80_original.jpg,sinif_sube,2978,1101,3108,1101,3108,2007,2978,2007
TRAIN,out/80_original.jpg,kurum_ogrenci_no,3277,989,3713,989,3713,1397,3277,1397
TRAIN,out/80_original.jpg,sozel,754,124,1457,124,1457,959,754,959
TRAIN,out/74_original.jpg,kitapcik_cinsiyet,85,668,529,668,529,805,85,805
TRAIN,out/74_original.jpg,kenarcizgi,2,195,132,195,132,1417,2,1417
TRAIN,out/74_original.jpg,bilgiler_elle,117,215,725,215,725,673,117,673
TRAIN,out/74_original.jpg,sinif_sube,722,213,859,213,859,1126,722,1126
TRAIN,out/74_original.jpg,sayisal,1163,1309,1530,1309,1530,2147,1163,2147
TRAIN,out/74_original.jpg,sozel,443,1307,1178,1307,1178,2144,443,2144
TRAIN,out/74_original.jpg,sozel,3012,1319,3421,1319,3421,2156,3012,2156
TRAIN,out/74_original.jpg,cevaplar,440,1229,1533,1229,1533,2156,440,2156
TRAIN,out/74_original.jpg,tc,1900,1233,2273,1233,2273,1642,1900,1642
TRAIN,out/74_original.jpg,kurum_ogrenci_no,46,820,519,820,519,1199,46,1199
TRAIN,out/74_original.jpg,kurum_ogrenci_no,1900,832,2334,832,2334,1224,1900,1224
TRAIN,out/74_original.jpg,bilgiler_elle,1908,237,2476,237,2476,680,1908,680
TRAIN,out/74_original.jpg,cevaplar,2344,1236,3434,1236,3434,2152,2344,2152
TRAIN,out/74_original.jpg,tc,12,1221,428,1221,428,1628,12,1628
TRAIN,out/74_original.jpg,sayisal,2346,1317,3047,1317,3047,2154,2346,2154
TRAIN,out/74_original.jpg,sinif_sube,2473,239,2623,239,2623,1133,2473,1133
TRAIN,out/74_original.jpg,kenarcizgi,1829,213,1898,213,1898,2139,1829,2139
TRAIN,out/74_original.jpg,soyadi_adi,2606,242,3353,242,3353,1229,2606,1229
TRAIN,out/74_original.jpg,soyadi_adi,808,220,1540,220,1540,1221,808,1221
TRAIN,out/33_original.jpg,tc,1832,1669,2361,1669,2361,2159,1832,2159
TRAIN,out/33_original.jpg,soyadi_adi,504,235,1866,235,1866,1202,504,1202
TRAIN,out/33_original.jpg,kurum_ogrenci_no,1305,1579,1837,1579,1837,2144,1305,2144
TRAIN,out/33_original.jpg,sinif_sube,502,1180,1746,1180,1746,1344,502,1344
TRAIN,out/33_original.jpg,kitapcik_cinsiyet,1104,1576,1308,1576,1308,2130,1104,2130
TRAIN,out/33_original.jpg,sayisal,1979,271,3032,271,3032,736,1979,736
TRAIN,out/33_original.jpg,kenarcizgi,443,2149,2052,2149,2052,2198,443,2198
TRAIN,out/33_original.jpg,sozel,1959,739,3007,739,3007,1598,1959,1598
